,Unnamed: 0,Unnamed: 0.1,author,text,whom,context,level,post,ages,sex,label,полная дата,дубликаты,"Возраст, лет",возраст лейбл,благо 153,мерси 2,пасиб 41,спс 105,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,6/24/2023,sentiment
35,35,35,776411536,Спс я чуть не забыл,post,post,1,27532070,27.3.1999,2,спс,1.0,,"24,3",2.0,,,,,,,,,,,,0
36,36,36,631201891,Спс за пин код,post,post,1,27528542,22.12.1991,2,спс,1.0,,"31,5",3.0,,,,,,,,,,,,0
37,37,37,777291600,Спс,post,post,1,27520101,,1,спс,,,,,,,,,,,,,,,,0
40,40,40,523050027,У кого Теле2 кто может передать гиги очень нужно писать в ЛС буду благодарен,post,post,1,27494212,23.7.2006,2,благо,1.0,,"16,9",1.0,,,,,,,,,,,,1
41,41,41,558312469,пасибки),post,post,1,27474233,27.4.2008,2,пасибо,1.0,,"15,2",1.0,,,,,,,,,,,,0
42,42,42,658274170,Спс - Саси пока стоит!,post,post,1,27459748,13.4.2000,2,спс,1.0,,"23,2",2.0,,,,,,,,,,,,0
43,43,43,739881728,спс за авку,post,post,1,27454743,,1,спс,,,,,,,,,,,,,,,,1
44,44,44,454885316,Благодарю,post,post,1,27446371,,2,благо,,,,,,,,,,,,,,,,0
46,46,46,586610983,Легенда спс за фильмы обожаю смотреть раз в пол года,post,post,1,27429429,,2,спс,,,,,,,,,,,,,,,,1
50,50,50,585232086,"Пасиб, админ",post,post,1,27399962,19.8.2006,2,пасибо,1.0,,"16,9",1.0,,,,,,,,,,,,0
51,51,51,662276340,"Хаха, благодарствую",post,post,1,27399962,24.8.2006,1,благо,1.0,,"16,8",1.0,,,,,,,,,,,,1
52,52,52,489373397,Ну пасибааааа ❤😂,post,post,1,27399962,11.10.2000,1,пасибо,1.0,,"22,7",2.0,,,,,,,,,,,,1
53,53,53,668610078,Пасиба...,post,post,1,27399962,,1,пасибо,,,,,,,,,,,,,,,,2
54,54,54,208272221,Пасибки 😄,post,post,1,27399962,12.11.2002,2,пасибо,1.0,,"20,6",2.0,,,,,,,,,,,,1
58,58,58,224048751,спс за повод,post,post,1,27391925,1.9,2,спс,,,,,,,,,,,,,,,,1
59,59,59,553031745,спс за идею,post,post,1,27355593,12.5.2008,1,спс,1.0,,"15,1",1.0,,,,,,,,,,,,1
60,60,60,557449702,Это мой др. Спс,post,post,1,27335774,16.1,2,спс,,,,,,,,,,,,,,,,0
61,61,61,606267842,"Спасибо, если бы не вы я бы не узнал что сегодня пятница 13 спс",post,post,1,27312114,15.6,2,спс,,,,,,,,,,,,,,,,1
62,62,62,548358372,"Для того чтобы ответить да или нет нужно расставить границы что понимается под любовью - я считаю это доверие понимание и естественно забота всё это создаёт границы для любви к кому либо например к кошке собаке и естественно желательно к противоположному полу, а не наоборот как случается в нынешней время🤐 Так вот сразу влюбиться невозможно, так как характер данного на данный момент человека его интересы можно узнать лишь со временем, время может растягиватся как от скрытности того лица к кому проявлен интерес, так и того лица который заинтересован в партнёрше в настойчивости и проявление внимание акцентов чтобы узнать.
    Увы часть нынешней молодёжи всё это делает под алкогольным опьянением порой это приводит к залету, в итоге обычно в таких случаях ребёнок растёт без отца, я считаю как отец так и мама не могут в полной мере заменить друг друга в воспитание чада. Если я не прав поправьте, а кто дочитал благодарю за внимание.",post,post,1,27291078,9.2.1993,2,благо,1.0,,"30,4",3.0,,,,,,,,,,,,0
63,63,63,665148164,спс,post,post,1,27271299,19.3.2008,1,спс,1.0,,"15,3",1.0,,,,,,,,,,,,1
64,64,64,764546692,Спс,post,post,1,27271299,7.3.2008,1,спс,1.0,,"15,3",1.0,,,,,,,,,,,,0
65,65,65,603437908,спс,post,post,1,27271017,,2,спс,,,,,,,,,,,,,,,,1
66,66,66,722884530,спс,post,post,1,27270922,30.1.1989,2,спс,1.0,,"34,4",3.0,,,,,,,,,,,,1
67,67,67,612830631,"Благодарю данного человека за хорошее детство, подареное его произведениями искусства",post,post,1,27261241,17.11.2003,2,благо,1.0,,"19,6",2.0,,,,,,,,,,,,1
68,68,68,670972322,Спс,post,post,1,27233101,17.6.2004,2,спс,1.0,,"19,0",2.0,,,,,,,,,,,,0
69,69,69,541782069,благодарю,post,post,1,27232470,12.7.1902,2,благо,,,,,,,,,,,,,,,,1
70,70,70,515464243,спс,post,post,1,27232470,23.11,2,спс,,,,,,,,,,,,,,,,1
71,71,71,565571104,Пасибо за разрешение,post,post,1,27231637,10.2.2000,2,пасибо,1.0,,"23,4",2.0,,,,,,,,,,,,0
72,72,72,503424255,спс,post,post,1,27231472,31.3.2002,1,спс,1.0,,"21,2",2.0,,,,,,,,,,,,1
73,73,73,663022087,Пасиб),post,post,1,27228052,12.10.1991,2,пасибо,1.0,,"31,7",3.0,,,,,,,,,,,,0
74,74,74,466449787,"Один человек, которому  я очень благодарен",post,post,1,27212558,16.7.2003,2,благо,1.0,,"20,0",2.0,,,,,,,,,,,,1
75,75,75,752059008,[id682642545|Анна] конец года я благодарен тебе,post,post,1,27208339,,2,благо,,,,,,,,,,,,,,,,0
76,76,76,669861596,Ага кто снял это фото? Мне свидетель нужен! Я заявление в полицию подам вот кто украл мою ёлку благодарю того кто снял это фото 🤝🤝🤝,post,post,1,27200566,28.11.1989,2,благо,1.0,,"33,6",3.0,,,,,,,,,,,,1
77,77,77,621456665,Кто сможет скинуть гигов на теле2 буду очень благодарен,post,post,1,27200169,20.11.2004,2,благо,1.0,,"18,6",2.0,,,,,,,,,,,,1
78,78,78,670201024,спс спс спс всех люблю спс,post,post,1,27197708,4.4.2007,1,спс,1.0,,"16,2",1.0,,,,,,,,,,,,1
79,79,79,540681144,спс я и думаю где мои очки🥹,post,post,1,27185338,31.8.2002,1,спс,1.0,,"20,8",2.0,,,,,,,,,,,,1
80,80,80,600808974,Спс ему 🥺😌☺️,post,post,1,27170866,,1,спс,,,,,,,,,,,,,,,,0
81,81,81,558671260,"С днём рождения дим, ты блин ну кто такой? Да ты красавчик просто, лучший на этой планете, счастья, здоровья, долгих лет, радуй нас и себя чем только можешь, просто успехов тебе во всём дим, ну просто благодарен твоим родителям за тебя от всей души. На высоте дим, таким и будь по жизни!!!!!!!!!! 👍😊😊👍🤝",post,post,1,27169777,20.10.1994,2,благо,1.0,,"28,7",2.0,,,,,,,,,,,,1
82,82,82,484423898,Пасиба,post,post,1,27162136,25.10.2004,1,пасибо,1.0,,"18,7",2.0,,,,,,,,,,,,2
83,83,83,535275283,Спс,post,post,1,27133210,,2,спс,,,,,,,,,,,,,,,,0
84,84,84,276016922,Спс за спойлер,post,post,1,27132194,20.9.2006,2,спс,1.0,,"16,8",1.0,,,,,,,,,,,,0
85,85,85,457365490,Пасиба,post,post,1,27092247,8.5.2004,2,пасибо,1.0,,"19,1",2.0,,,,,,,,,,,,2
86,86,86,576623052,"Спс за напоминание, буду ждать поздравление от Куплинова больше чем от Володьки",post,post,1,27049599,11.1.2001,2,спс,1.0,,"22,5",2.0,,,,,,,,,,,,0
87,87,87,425265420,Я очень рад спс за инфу,post,post,1,27045312,,2,спс,,,,,,,,,,,,,,,,1
88,88,88,412938705,"Впервые благодарен колледжу, за то что во вторник, можно выспаться и не идти к 9, а ещё хуже к 8",post,post,1,27033742,,2,благо,,,,,,,,,,,,,,,,2
89,89,89,180620986,"https://vk.com/wall-71237351_8384
Выручите, пожалуйста, перейдите по этой ссылке, и поставьте лайк под моим комментарием, пожалуйста, буду вам очень благодарен 👉👈❤️",post,post,1,26973224,19.4,2,благо,,,,,,,,,,,,,,,,0
90,90,90,643878771,Спс,post,post,1,26968782,28.5.2007,1,спс,1.0,,"16,1",1.0,,,,,,,,,,,,0
91,91,91,610004139,Спс теперь знаю 💋,post,post,1,26968782,4.8.2006,1,спс,1.0,,"16,9",1.0,,,,,,,,,,,,0
93,93,93,9200071,Послушай пожалуйста 🥺 ❤️ буду очень благодарен спасибо 🙏 🖤https://vk.com/music?z=audio_playlist9200071_216/7a90c589d93689c039,post,post,1,26953559,,2,благо,,,,,,,,,,,,,,,,2
94,94,94,300750030,"Хз чо сказать. Но мне нужно кейс открыть
https://genshindrop.com/ref/556985
Ссылка реферальная. Если кому не лень зарегаться, буду благодарен",post,post,1,26947833,3.4.2006,2,благо,1.0,,"17,2",1.0,,,,,,,,,,,,2
96,96,96,505677092,"Ммм, дааа, пасиба",post,post,1,26917036,20.6.2005,1,пасибо,1.0,,"18,0",2.0,,,,,,,,,,,,0
97,97,97,493703850,пасиба,post,post,1,26917036,8.11,2,пасибо,,,,,,,,,,,,,,,,0
98,98,98,607349223,Благодарю,post,post,1,26860693,7.2.2001,2,благо,1.0,,"22,4",2.0,,,,,,,,,,,,0
99,99,99,581744040,Пасибки таким чудесным людям🥰,post,post,1,26841582,26.1.2007,2,пасибо,1.0,,"16,4",1.0,,,,,,,,,,,,1
100,100,100,742243656,Орнул спс за видео,post,post,1,26838450,29.6.1998,2,спс,1.0,,"25,0",2.0,,,,,,,,,,,,0
101,101,101,623635513,"Ребята, хотите получать хорошее настроение каждый день , так быстрее подписываемся на мой тг канал с невероятной музыкой, треков и ремиксов, вот ссылочка 
t.me/musik16085
Ребята , буду очень благодарна за подписку 🤗",post,post,1,26817845,13.12.2001,2,благо,1.0,,"21,5",2.0,,,,,,,,,,,,1
102,102,102,694160289,Чел щас 6:25 я только час назад проснулась спс,post,post,1,26801817,8.6,1,спс,,,,,,,,,,,,,,,,1
103,103,103,621456665,Кто сможет скинуть гигов на теле2 буду очень благодарен,post,post,1,26795891,20.11.2004,2,благо,1.0,,"18,6",2.0,,,,,,,,,,,,1
104,104,104,596631872,Спс бро,post,post,1,26778868,26.4.2004,2,спс,1.0,,"19,2",2.0,,,,,,,,,,,,0
105,105,105,639372094,Пасиба(,post,post,1,26774669,23.6.1999,2,пасибо,1.0,,"24,0",2.0,,,,,,,,,,,,2
106,106,106,445998746,Пасиб...,post,post,1,26774669,,2,пасибо,,,,,,,,,,,,,,,,0
107,107,107,381699703,спс кнчл,post,post,1,26732842,,2,спс,,,,,,,,,,,,,,,,0
108,108,108,576412349,Спс я кончил,post,post,1,26697966,29.4.2006,2,спс,1.0,,"17,2",1.0,,,,,,,,,,,,2
109,109,109,464826069,"Братцы кролики, ищу свою аудиторию (Музон)Зная по себе! извращенцы тоже люди будь те добры ,зайти ко мне и нагнуться что бы вступить в секту.Зарание от души.Я буду при много благодарен если вы там будете если понравиться!?Админ сори бро.там просто бомба внутри.",post,post,1,26693292,,2,благо,,,,,,,,,,,,,,,,0
110,110,110,752161806,"че за формы, форсы? реддит? кидайте свои восклицательные и правильные в сути такта вопросы — но мама не купила мои — увы, я в ссоре — Ди Каприо, налей вина помягче, я не люблю алкоголь — но вчера ребятки сильно жгли. без. зачем нам? я тут болею жутко походу. я не сломанный! но пожалуйста — киньте, не пойте — не клянчу, просто злой я — на себя,
лишь упал на цифру — сразу зазнаваться в логарифмы
на слово 89293991399 по сбп бро, я буду благодарен — mothcaster27 — группа",post,post,1,26672368,11.9.2000,2,благо,1.0,,"22,8",2.0,,,,,,,,,,,,2
111,111,111,552297018,"Перекиньте пожалуйста пару гигов на теле2, кому не жалко, а то безлимит только на вк) буду очень благодарен",post,post,1,26657423,25.4.2003,2,благо,1.0,,"20,2",2.0,,,,,,,,,,,,1
112,112,112,528667273,Спс за тг!),post,post,1,26636488,27.11.2003,2,спс,1.0,,"19,6",2.0,,,,,,,,,,,,0
113,113,113,720742791,"пасиба , легенда",post,post,1,26636488,18.3,2,пасибо,,,,,,,,,,,,,,,,0
114,114,114,707866458,Пасиба :з,post,post,1,26636060,19.1.2007,2,пасибо,1.0,,"16,4",1.0,,,,,,,,,,,,1
115,115,115,551569368,Пасиб,post,post,1,26610082,1.7.2001,2,пасибо,1.0,,"22,0",2.0,,,,,,,,,,,,0
116,116,116,538027874,"Спасибо благословенному админу, что вставил последнюю пикчу, чтобы я понимал как правильно реагировать на этот пост. Я ходил по комнате, и около шести часов я не мог понять, что же мне делать с этим мемом, уже почти дошел до седьмого часа раздумий, и на седьмой час я уже собирался съесть 7 пакетиков порошка ослабительного и продристаться, пока не выдристаю все свои органы и не умру. Но вдруг, когда я съел уже шесть с половиной пакетиков, я увидел продолжение мема, и там была эта замечательная картинка, 9 минут я смотрел на нее, и не мог понять, что она значит, и вдруг меня осенило, это то, как нужно реагировать на этот прикол, но вдруг на десятой минуте я начал дристать, обдристал все что видела моя жопа, но я таки смог выжить. Благодарю админа, за то что не съел лишние пол пакетика Ослабительного, позволил мне
реагировать на мем так как я должен, и позволил мне пожить лишнее время.",post,post,1,26603232,28.3.1996,2,благо,1.0,,"27,3",2.0,,,,,,,,,,,,2
117,117,117,640176745,"Я атеист, поэтому благодарна врачам☺",post,post,1,26602021,,1,благо,,,,,,,,,,,,,,,,1
118,118,118,581050119,"Админ спс за пятницу, хах",post,post,1,26584666,2.2.2006,1,спс,1.0,,"17,4",1.0,,,,,,,,,,,,1
119,119,119,657004706,"Ребят, может кто поделиться гб Теле2?Заранее благодарю",post,post,1,26570797,1.3.2003,2,благо,1.0,,"20,3",2.0,,,,,,,,,,,,0
120,120,120,658809275,Спс буду знать),post,post,1,26557464,,2,спс,,,,,,,,,,,,,,,,0
123,123,123,533199940,"А чего такого-то? Я сам начинал трудится в маке, и я благодарен каждому дню который я там провёл, в старом добром маке относились к тебе как будто ты часть семьи …",post,post,1,26531391,1.1.1990,2,благо,1.0,,"33,5",3.0,,,,,,,,,,,,1
124,124,124,101848933,"Я знаю Сергея Бурунова. Он же Лютика озвучивает в Ведьмаке 3: Дикая Охота. Надеюсь легенда поправится. Именно его голос я слышу когда прохожу Ведьмака 3: Дикая Охота. Не знал, что он болеет коронавирусом. Благодарю Лютику я и знаю такого актёра как Сергей Бурунов. Очень известный для меня актёр. Опять же благодаря Ведьмаку 3: Дикая Охота.",post,post,1,26529690,1.8.1991,2,благо,1.0,,"31,9",3.0,,,,,,,,,,,,2
125,125,125,346555428,"Спс за паспорт, возьму 484847464737 кредитов на него",post,post,1,26522394,7.11.2008,2,спс,1.0,,"14,6",1.0,,,,,,,,,,,,0
126,126,126,716938209,Спс,post,post,1,26477073,16.9.2002,1,спс,1.0,,"20,8",2.0,,,,,,,,,,,,0
127,127,127,696007852,С др брат спс за сватов,post,post,1,26472843,,2,спс,,,,,,,,,,,,,,,,0
128,128,128,620836149,"Благодарю за счастливые моменты, когда я в детстве смотрела мультик. Фразы из мультфильма используют и сейчас в жизни. Благодарю за юмор, который чтобы понять нужно думать, за то светлое чувство детства при просмотре мультфильма 1000 раз",post,post,1,26468002,7.4.1983,1,благо,1.0,,"40,2",3.0,,,,,,,,,,,,1
129,129,129,741502351,Пасиб…,post,post,1,26447142,3.2,2,пасибо,,,,,,,,,,,,,,,,0
130,130,130,660195901,Спс,post,post,1,26447142,29.3,1,спс,,,,,,,,,,,,,,,,0
131,131,131,621456665,Кто сможет скинуть гигов на теле2 буду очень благодарна,post,post,1,26445137,20.11.2004,2,благо,1.0,,"18,6",2.0,,,,,,,,,,,,1
132,132,132,533199940,Не благодарю,post,post,1,26423132,1.1.1990,2,благо,1.0,,"33,5",3.0,,,,,,,,,,,,0
133,133,133,612252892,Благодарю,post,post,1,26423132,9.1.2006,2,благо,1.0,,"17,5",1.0,,,,,,,,,,,,0
134,134,134,731859246,"Пасибо, я ток что перешел в 9 класс",post,post,1,26412313,,2,пасибо,,,,,,,,,,,,,,,,0
135,135,135,627238714,Пасиба,post,post,1,26409549,18.6.2006,1,пасибо,1.0,,"17,0",1.0,,,,,,,,,,,,2
136,136,136,731486879,Пасиб,post,post,1,26409549,26.2.2004,2,пасибо,1.0,,"19,3",2.0,,,,,,,,,,,,0
137,137,137,654622632,Пасиб,post,post,1,26409549,3.7,1,пасибо,,,,,,,,,,,,,,,,0
138,138,138,629876490,"пасиб дед,я к тебе",post,post,1,26406676,30.10.2001,2,пасибо,1.0,,"21,7",2.0,,,,,,,,,,,,0
139,139,139,692368289,Спс за идею,post,post,1,26401525,25.12.2001,2,спс,1.0,,"21,5",2.0,,,,,,,,,,,,0
140,140,140,563739805,сенкс,post,post,1,26389086,,1,мерси,,,,,,,,,,,,,,,,0
141,141,141,703094482,"Ооооо спс за идею, хахаххвхва",post,post,1,26384515,,1,спс,,,,,,,,,,,,,,,,1
142,142,142,704338760,"спс за шутки с 2020, очень смешно😷",post,post,1,26381628,7.2.2002,1,спс,1.0,,"21,4",2.0,,,,,,,,,,,,1
143,143,143,413516045,Спс,post,post,1,26374742,24.8.2005,2,спс,1.0,,"17,8",1.0,,,,,,,,,,,,0
144,144,144,652238987,"люди добрые кому скиньте пожалуйста по 30 рублей на карту на еду буду очень благодарна 👉👈
89829404389",post,post,1,26362390,,1,благо,,,,,,,,,,,,,,,,1
145,145,145,718004960,"Спс за усилинную фобию в детстве  мне уже испортили этим психику, а теперь еще и ултра фобия, класс!!!",post,post,1,26348847,6.1.1907,2,спс,,,,,,,,,,,,,,,,2
146,146,146,303656318,Стиралку можно отдельно кинуть? Буду благодарен,post,post,1,26323809,11.2.2004,2,благо,1.0,,"19,4",2.0,,,,,,,,,,,,0
147,147,147,532342890,Ребят кому не сложно можете скинуть гиги в теле 2. Заранее благодарю,post,post,1,26305922,14.3.2003,2,благо,1.0,,"20,3",2.0,,,,,,,,,,,,1
149,149,149,49898683,Как же я жил без этой информации! Теперь буду знать!!!! Благодарю адм👍👍👍👍👍👍👍,post,post,1,26226072,11.1,2,благо,,,,,,,,,,,,,,,,1
150,150,150,536905081,"Мое почтение!
Дорогие мои, недавно я создал обычную беседу в телеграмме для общения.Нам не хватает модераторов которые будут следить за чатом и самих участников .очень будем рады если зайдёте к нам.
Пишите на этот аккаунт вк или же тг: estoxotaaa
Благодарю за внимание🧸",post,post,1,26223655,5.1,2,благо,,,,,,,,,,,,,,,,1
151,151,151,612785998,"Спс за то что сломал мою психику, очень больно и обидно",post,post,1,26205002,18.6.2007,2,спс,1.0,,"16,0",1.0,,,,,,,,,,,,2
152,152,152,323050764,Все кто в питере живет благодарен белым ночам (нет),post,post,1,26128067,29.11,1,благо,,,,,,,,,,,,,,,,0
153,153,153,624045632,Пасиба,post,post,1,26120296,,2,пасибо,,,,,,,,,,,,,,,,2
155,155,155,728848396,Спс,post,post,1,26089802,11.7.2004,2,спс,1.0,,"19,0",2.0,,,,,,,,,,,,0
156,156,156,708805265,спс,post,post,1,26057754,26.6,2,спс,,,,,,,,,,,,,,,,1
157,157,157,674030219,"Моя мама выросла на этих мультах, следом я с братом выросли, - благодарю и говорю ему СПАСИБО за это лучшее детство😇🙏👏👏👏💕💕💕",post,post,1,26056648,12.7,1,благо,,,,,,,,,,,,,,,,1
158,158,158,576051782,"Поделитесь кто-нибудь пожалуйста интернетом на Теле2 очень нужно, заранее благодарю",post,post,1,26016485,,2,благо,,,,,,,,,,,,,,,,0
159,159,159,443733897,"У него была хорошая жизнь и он благодарен тебе и вашей семье, сейчас он спить спокойно в своем мире и кушает самую вкусную еду 😋 и смотрит на тебя",post,post,1,25994038,1.2,2,благо,,,,,,,,,,,,,,,,1
160,160,160,715829980,спс что за меня,post,post,1,25976612,10.1.2008,2,спс,1.0,,"15,5",1.0,,,,,,,,,,,,2
161,161,161,603666629,благодарю,post,post,1,25889891,4.5,1,благо,,,,,,,,,,,,,,,,1
162,162,162,417161332,Пасиба бро,post,post,1,25889891,7.7.2004,1,пасибо,1.0,,"19,0",2.0,,,,,,,,,,,,0
163,163,163,669024256,"сижу на свадьбе, спс",post,post,1,25880539,2.10.2008,1,спс,1.0,,"14,7",1.0,,,,,,,,,,,,0
164,164,164,568685479,Спс за инфу,post,post,1,25876237,10.7.2001,2,спс,1.0,,"22,0",2.0,,,,,,,,,,,,0
165,165,165,577335136,Спс кринжанул,post,post,1,25871005,5.4.2008,2,спс,1.0,,"15,2",1.0,,,,,,,,,,,,0
166,166,166,732318434,"Поставьте лайк на аву плиз, буду благодарен",post,post,1,25864129,31.12.1995,2,благо,1.0,,"27,5",2.0,,,,,,,,,,,,0
167,167,167,127104860,кринжанул спс,post,post,1,25860678,19.3.2002,2,спс,1.0,,"21,3",2.0,,,,,,,,,,,,0
168,168,168,576051782,"Поделитесь пожалуйста интернетом на Теле2 очень нужно, заранее благодарю",post,post,1,25858994,,2,благо,,,,,,,,,,,,,,,,0
170,170,170,554163203,"Ребят, может будет у кого пару гигов на теле2? Буду очень благодарна за помощь❤🥺",post,post,1,25852052,1.8,1,благо,,,,,,,,,,,,,,,,1
172,172,172,575790217,"Поделитесь пж гб на мегафон, буду очень благодарен",post,post,1,25775556,18.5.2008,2,благо,1.0,?,,,,,,,,,,,,,,1
173,173,173,722624067,"Благодарю за столь зенную точнее, безценную инфу.",post,post,1,25766317,13.12.1911,2,благо,,,,,,,,,,,,,,,,1
175,175,175,554163203,"Ребят, может будет у кого пару гигов на теле2? Буду очень благодарна за помощь❤🥺",post,post,1,25742445,1.8,1,благо,,,,,,,,,,,,,,,,1
176,176,176,680444792,"Лайкните стену пожалуйста, заранее благодарен 😎✊",post,post,1,25730221,22.9,2,благо,,,,,,,,,,,,,,,,0
177,177,177,729003539,"Ребятки, накидайте заявочек в друзья, если не сложно, очень нужно, заранее благодарю откликнувшихся))",post,post,1,25670239,15.1,2,благо,,,,,,,,,,,,,,,,1
178,178,178,220424633,"В любом случае я очень благодарен ему за «Один дома». Культовый фильм детства, который дарил невероятную новогоднюю атмосферу. Спасибо",post,post,1,25603754,16.8,2,благо,,,,,,,,,,,,,,,,1
179,179,179,632265002,Обама и в этом случае я буду очень благодарен вам,post,post,1,25554036,23.12.2005,1,благо,1.0,,"17,5",1.0,,,,,,,,,,,,1
180,180,180,636902901,Джиган в русском и без без я буду очень благодарна если ты сможешь мне позвонить в Украине с моей помощью я тебе все это надо и я тебе скажу только одно и тоже я думаю о том как ты меня в Украине не так уж и без меня и не знаю что я хочу быть с ним в этом году,post,post,1,25485440,17.12.2006,2,благо,1.0,,"16,5",1.0,,,,,,,,,,,,1
